P (MPa)	T (°C)	V (m3/kg)	U (kJ/kg)	H (kJ/kg)	S [kJ/(kg K)]	Phase	Rho (kg/m^3)
0.9	15	0.001001	62.94	63.84	0.2243	liquid	999.000999
0.9	20	0.001001	83.86	84.76	0.2963	liquid	999.000999
1	20	0.001001	83.85	84.85	0.2963	liquid	999.000999
1.1	20	0.001001	83.85	84.95	0.2963	liquid	999.000999
1.2	20	0.001001	83.84	85.04	0.2962	liquid	999.000999
1.3	20	0.001001	83.83	85.13	0.2962	liquid	999.000999
1.4	20	0.001001	83.83	85.23	0.2962	liquid	999.000999
1.5	20	0.001001	83.82	85.32	0.2962	liquid	999.000999
1.6	20	0.001001	83.82	85.42	0.2962	liquid	999.000999
1.8	20	0.001001	83.8	85.6	0.2961	liquid	999.000999
2	20	0.001001	83.79	85.79	0.2961	liquid	999.000999
2.2	20	0.001001	83.78	85.98	0.296	liquid	999.000999
2.5	20	0.001001	83.76	86.26	0.296	liquid	999.000999
3.5	25	0.001001	104.6	108.1	0.3663	liquid	999.000999
4	25	0.001001	104.5	108.5	0.3662	liquid	999.000999
4.5	25	0.001001	104.5	109	0.3661	liquid	999.000999
5	25	0.001001	104.4	109.5	0.3659	liquid	999.000999
5.5	25	0.001001	104.4	109.9	0.3658	liquid	999.000999
7	30	0.001001	125.1	132.1	0.4346	liquid	999.000999
7.5	30	0.001001	125	132.6	0.4345	liquid	999.000999
8	30	0.001001	125	133	0.4343	liquid	999.000999
11	35	0.001001	145.5	156.5	0.5013	liquid	999.000999
12	35	0.001001	145.4	157.4	0.5009	liquid	999.000999
15	40	0.001001	165.7	180.8	0.5666	liquid	999.000999
16	40	0.001001	165.6	181.7	0.5662	liquid	999.000999
17	40	0.001001	165.5	182.5	0.5658	liquid	999.000999
20	45	0.001001	185.8	205.8	0.6301	liquid	999.000999
25	50	0.001001	205.8	230.8	0.6923	liquid	999.000999
0.01	20	0.001002	83.91	83.92	0.2965	liquid	998.003992
0.02	20	0.001002	83.91	83.93	0.2965	liquid	998.003992
0.03	20	0.001002	83.91	83.94	0.2965	liquid	998.003992
0.04	20	0.001002	83.91	83.95	0.2965	liquid	998.003992
0.05	20	0.001002	83.91	83.96	0.2965	liquid	998.003992
0.06	20	0.001002	83.91	83.97	0.2965	liquid	998.003992
0.07	20	0.001002	83.91	83.98	0.2965	liquid	998.003992
0.08	20	0.001002	83.91	83.99	0.2965	liquid	998.003992
0.09	20	0.001002	83.91	84	0.2965	liquid	998.003992
0.1	20	0.001002	83.91	84.01	0.2965	liquid	998.003992
0.11	20	0.001002	83.91	84.02	0.2965	liquid	998.003992
0.12	20	0.001002	83.9	84.02	0.2965	liquid	998.003992
0.13	20	0.001002	83.9	84.03	0.2965	liquid	998.003992
0.14	20	0.001002	83.9	84.04	0.2965	liquid	998.003992
0.15	20	0.001002	83.9	84.05	0.2965	liquid	998.003992
0.16	20	0.001002	83.9	84.06	0.2965	liquid	998.003992
0.18	20	0.001002	83.9	84.08	0.2965	liquid	998.003992
0.2	20	0.001002	83.9	84.1	0.2964	liquid	998.003992
0.22	20	0.001002	83.9	84.12	0.2964	liquid	998.003992
0.24	20	0.001002	83.9	84.14	0.2964	liquid	998.003992
0.26	20	0.001002	83.9	84.16	0.2964	liquid	998.003992
0.28	20	0.001002	83.9	84.18	0.2964	liquid	998.003992
0.3	20	0.001002	83.89	84.19	0.2964	liquid	998.003992
